EmployeeID,LastName,FirstName,PhoneNumber,StreetNumber_Address,StreetName_Address,City_Address,State_Address,ZipCode_Address,DateofHire,Supervisor,Sex,Race,Ethnicity,Age,Disability,Veteran
1001,Sexson,Percy,5554572315,7890,SW Indiana Way,Portland,Oregon,97201,1/29/2013,"Terrance, Megan",Male,White,NonHispanicLatino,38.1,No,No
1002,Linkous,Kenan,5556982965,2138,SE Freedom Blvd,Portland,Oregon,97236,2/1/2013,"Terrance, Megan",Male,White,NonHispanicLatino,33.78,No,No
1003,Robertson,James,5555164821,8523,NW 8th St,Vancouver,Washington,97227,2/10/2013,"Terrance, Megan",Male,White,HispanicLatino,31.84,No,No
1004,Zuckerman,Mandie,5555402995,6303,E Bush  Ave,Portland,Oregon,97253,2/10/2013,"Ali, Hafsa",Female,Black,HispanicLatino,38.85,No,No
1005,Swartout,Shayna,5555262032,9015,NW 44th Blvd,Portland,Oregon,97241,2/18/2013,"Lindsay, John",Female,Asian,NonHispanicLatino,32.02,No,No
1006,Jimenez,Derek,5557091908,9828,SE Freedom Blvd,Portland,Oregon,97296,2/18/2013,"Brock, Sarah",Male,White,NonHispanicLatino,34.38,No,No
1007,Tyler,Chun,5552619492,622,SE Brooklyn Way,Vancouver,Washington,97212,3/2/2013,"Smith, Eleanor",Male,Asian,NonHispanicLatino,35.21,No,Yes
1008,Ray,Tyson,5553232940,1717,SE Green Blvd,Clackamas,Oregon,97283,3/2/2013,"Garcia, Lilia",Male,White,NonHispanicLatino,41.11,No,No
1009,Jensen,John,5554678402,1142,NE 26th St,Portland,Oregon,97218,3/12/2013,"Smith, Eleanor",Male,Black,NonHispanicLatino,37.02,No,No
1010,Keagle,Fatima,5554530797,3533,W Flower Dr,Hillsboro,Oregon,97304,3/12/2013,"Ali, Hafsa",Female,White,NonHispanicLatino,32.52,No,No
1011,Mckay,Horace,5554184090,8404,SW Eisenhower  Way,Portland,Oregon,97263,4/1/2013,"Garcia, Lilia",Male,White,NonHispanicLatino,32.39,No,No
1012,Lafountain,Floyd,5554377497,3316,NW Tillikum Blvd,Beaverton,Oregon,97283,4/1/2013,"Grant, Jamal",Male,Asian,HispanicLatino,30.65,No,No
1013,Ward,Kris,5552699639,7765,E McKinley  Rd,Portland,Oregon,97252,5/11/2013,"Lindsay, John",Female,White,NonHispanicLatino,35.62,No,No
1014,Connor,Johan,5554711254,588,NW California Way,Portland,Oregon,97276,5/11/2013,"Brock, Sarah",Male,White,NonHispanicLatino,35.66,No,No
1015,Hernandez,Rolf,5555458171,7893,NW Whitney St,Portland,Oregon,97289,5/16/2013,"Thortan, Megan",Male,Asian,NonHispanicLatino,36.49,No,No
1016,Bailey,Courtney,5556611903,6886,SW Hood St,Beaverton,Oregon,97271,5/16/2013,"Thortan, Megan",Male,White,NonHispanicLatino,38.44,No,No
1017,Sandberg,Ethan,5554636867,3470,SW Tillikum Blvd,Vancouver,Washington,97270,5/28/2013,"Terrance, Megan",Male,White,NonHispanicLatino,36.27,No,No
1018,Edling,Valentino,5555528990,1733,NE Harvard Blvd,Portland,Oregon,97308,5/28/2013,"Smith, Eleanor",Male,Black,NonHispanicLatino,36.07,No,No
1019,Kennedy,Pedro,5557216167,2986,NE Ash Ave,Portland,Oregon,97293,6/19/2013,"Lindsay, John",Male,White,NonHispanicLatino,34.51,No,No
1020,Nassar,Alfonso,5556026942,5988,SE Alberta Blvd,Vancouver,Washington,97269,6/19/2013,"Ali, Hafsa",Male,White,NonHispanicLatino,33.02,No,No
1021,Robbins,Cameron,5555390608,7494,N Truman  Tr,Portland,Oregon,97284,7/9/2013,"Lindsay, John",Female,Black,HispanicLatino,29.71,No,No
1022,Lucero,Audrey,5555027348,8618,NE Cleveland  Ln,Portland,Oregon,97226,7/9/2013,"Terrance, Megan",Female,Black,HispanicLatino,31.88,No,No
1023,Ibarra,Alvaro,5556739649,4275,SE Parkside Way,Beaverton,Oregon,97302,9/26/2013,"Terrance, Megan",Male,Asian,HispanicLatino,34.92,No,No
1024,Waller,Amanda,5556291195,5857,NW Bush  Tr,Portland,Oregon,97283,9/26/2013,"Thortan, Megan",Female,Asian,HispanicLatino,36.29,Yes,No
1025,Hatfield,Rachel,5555015758,9227,SW 7th Ave,Vancouver,Washington,97202,10/9/2013,"Thortan, Megan",Female,White,NonHispanicLatino,35.77,No,No
1026,Hart,Kendall,5555930339,4882,SW Adams  Ave,Beaverton,Oregon,97262,10/9/2013,"Brock, Sarah",Female,Black,HispanicLatino,33.54,Yes,No
1027,Carlson,Valentin,5555555807,7222,W Cesar Ave,Portland,Oregon,97313,10/13/2013,"Smith, Eleanor",Female,White,NonHispanicLatino,29.72,No,No
1028,Foster,Dominique,5557463611,8918,NE Adams  Ln,Portland,Oregon,97279,10/13/2013,"Smith, Eleanor",Male,Asian,NonHispanicLatino,31.15,No,No
